SUBSTUDY,Collection Agency,PARAMETER,Autosamples,FCEB,FD,FB,RS,EB,Total Blanks,Blank %
L8FEBOG,WMD,No Bottle,2,0,0,0,0,0,0,0%
L8FEBOG,WMD,TPO4,193,3,0,1,0,0,4,2%
